Scenario,datetime,WS,WD,TMP,RH
mch,27-01-2021 14:00,25.1,121,20.436,41.722
mch,27-01-2021 15:00,21.2,84,20.824,39.302
mch,27-01-2021 16:00,23.1,63,20.887,37.93
mch,27-01-2021 17:00,22.6,89,20.825,37.807
mch,27-01-2021 18:00,14.9,112,20.211,40.213
mch,27-01-2021 19:00,16.3,66,19.089,45.616
mch,27-01-2021 20:00,10.2,86,17.688,51.684
mch,27-01-2021 21:00,9.8,132,16.255,57.737
mch,27-01-2021 22:00,7.2,119,15.284,61.075
mch,27-01-2021 23:00,3.9,111,14.87,62.205
mch,28-01-2021 0:00,10.4,297,14.005,66.948
mch,28-01-2021 1:00,10.8,285,13.852,65.766
mch,28-01-2021 2:00,8.3,292,13.678,65.542
mch,28-01-2021 3:00,5.4,79,13.358,65.951
mch,28-01-2021 4:00,3.4,108,12.788,68.546
mch,28-01-2021 5:00,3.9,89,12.75,67.56
mch,28-01-2021 6:00,5.1,114,12.685,66.969
mch,28-01-2021 7:00,5.7,97,12.405,67.123
mch,28-01-2021 8:00,7.4,80,12.516,66.764
mch,28-01-2021 9:00,14.2,99,14.126,62.976
mch,28-01-2021 10:00,23.4,104,16.306,49.089
mch,28-01-2021 11:00,16.7,106,17.723,45.059
mch,28-01-2021 12:00,14.4,103,18.429,43.308
mch,28-01-2021 13:00,25.4,77,18.015,45.307
mch,28-01-2021 14:00,22.4,73,18.083,45.24
mch,28-01-2021 15:00,16.4,89,18.495,42.718
mch,28-01-2021 16:00,10.7,247,17.669,45.872
mch,28-01-2021 17:00,9.8,91,16.6,49.994
mch,28-01-2021 18:00,12.1,122,15.631,54.446
mch,28-01-2021 19:00,9.1,107,15.048,57.5
mch,28-01-2021 20:00,7.2,128,13.827,70.74
mch,28-01-2021 21:00,4.8,134,13.016,74.061
mch,28-01-2021 22:00,2.8,167,12.838,75.06
mch,28-01-2021 23:00,7.7,279,12.491,77.306
mch,29-01-2021 0:00,7.8,116,12.636,73.233
mch,29-01-2021 1:00,4.3,106,12.548,72.656
mch,29-01-2021 2:00,9.6,87,12.17,77.056
mch,29-01-2021 3:00,5.3,73,11.872,77.676
mch,29-01-2021 4:00,5.3,180,11.013,89.05
mch,29-01-2021 5:00,9,302,10.601,89.353
mch,29-01-2021 6:00,23.1,114,10.517,91.375
mch,29-01-2021 7:00,24.4,290,10.496,91.6
mch,29-01-2021 8:00,22.3,288,10.665,91.399
mch,29-01-2021 9:00,15.9,271,11.178,90.827
mch,29-01-2021 10:00,23.6,282,11.216,84.17
mch,29-01-2021 11:00,22.1,292,11.28,90.743
mch,29-01-2021 12:00,34.3,284,10.918,90.486
mch,29-01-2021 13:00,38.9,275,12.05,81.885
mch,29-01-2021 14:00,35.7,279,12.303,76.586
mch,29-01-2021 15:00,32.6,280,12.018,88.433
mch,29-01-2021 16:00,17.6,285,13.452,84.38
mch,29-01-2021 17:00,14.6,287,13.108,98.143
mch,29-01-2021 18:00,18.6,276,12.467,98.538
mch,29-01-2021 19:00,29.8,279,11.914,98.963
mch,29-01-2021 20:00,29.6,289,11.388,99.472
mch,29-01-2021 21:00,36.2,276,10.915,98.759
mch,29-01-2021 22:00,31.8,277,10.611,97.972
mch,29-01-2021 23:00,36.8,268,10.415,97.049
mch,30-01-2021 0:00,41.5,282,10.294,95.059
mch,30-01-2021 1:00,39.8,291,10.057,92.719
mch,30-01-2021 2:00,32.1,270,98.913,92.719
mch,30-01-2021 3:00,21.1,282,96.282,93.917
mch,30-01-2021 4:00,25.2,298,95.188,90.924
mch,30-01-2021 5:00,11.5,300,90.566,92.987
mch,30-01-2021 6:00,13.3,336,91.259,92.996
mch,30-01-2021 7:00,13.8,302,88.243,95
mch,30-01-2021 8:00,3.7,311,85.583,94.012
mch,30-01-2021 9:00,3.5,317,10.956,88.255
mch,30-01-2021 10:00,15,125,11.459,83.799
mch,30-01-2021 11:00,14.1,101,12.941,81.83
mch,30-01-2021 12:00,6.7,98,13.907,83.119
mch,30-01-2021 13:00,12.2,98,14.787,86.196
mch,30-01-2021 14:00,6.9,105,14.703,91.681
mch,30-01-2021 15:00,8.7,94,15.201,91.582
mch,30-01-2021 16:00,7.7,129,14.898,77.099
mch,30-01-2021 17:00,12.4,93,13.652,91.614
mch,30-01-2021 18:00,8.4,85,13.338,93.191
mch,30-01-2021 19:00,14.5,68,12.627,94.408
mch,30-01-2021 20:00,11.5,75,11.817,93.787
mch,30-01-2021 21:00,14.9,303,11.368,94.301
mch,30-01-2021 22:00,11.1,291,10.83,94.098
mch,30-01-2021 23:00,6.7,273,9.836,95.737
mch,31-01-2021 0:00,8.5,294,96.264,94.262
mch,31-01-2021 1:00,8.1,322,8.999,94.203
mch,31-01-2021 2:00,8.7,310,88.377,93.794
mch,31-01-2021 3:00,5.1,82,85.717,91.891
mch,31-01-2021 4:00,14.1,290,87.673,85.014
mch,31-01-2021 5:00,16.1,330,91.864,78.567
mch,31-01-2021 6:00,8.2,259,89.536,79.211
mch,31-01-2021 7:00,15.9,24,89.076,81.509
mch,31-01-2021 8:00,12.2,76,93.761,74.467
mch,31-01-2021 9:00,21.4,273,10.115,85.719
mch,31-01-2021 10:00,21.2,285,11.293,75.175
mch,31-01-2021 11:00,20.1,293,12.267,72.484
mch,31-01-2021 12:00,15.4,298,13.139,72.248
mch,31-01-2021 13:00,11.4,292,14.324,75.352
mch,31-01-2021 14:00,12.8,63,15.121,79.123
mch,31-01-2021 15:00,16.9,103,14.377,88.235
mch,31-01-2021 16:00,20.1,111,15.267,76.267
mch,31-01-2021 17:00,14.7,78,13.394,79.422
mch,31-01-2021 18:00,10.6,103,12.598,78.879
mch,31-01-2021 19:00,9.3,117,10.426,82.041
mch,31-01-2021 20:00,6.4,96,10.337,84.967
mch,31-01-2021 21:00,82.022,161,10.352,81.472
mch,31-01-2021 22:00,62.022,124,96.947,85.959
mch,31-01-2021 23:00,52.022,322,92.823,86.113
mch,01-02-2021 0:00,52.022,180,94.581,79.434
mch,01-02-2021 1:00,82.022,280,86.565,79.494
mch,01-02-2021 2:00,22.022,180,80.887,77.819
mch,01-02-2021 3:00,62.022,275,71.735,77.144
mch,01-02-2021 4:00,22.022,80,7.674,65.843
mch,01-02-2021 5:00,12.022,84,72.013,64.236
mch,01-02-2021 6:00,22.022,70,60.286,66.099
mch,01-02-2021 7:00,82.022,292,55.112,67.498
mch,01-02-2021 8:00,82.022,292,56.423,75.331
mch,01-02-2021 9:00,9.5,130,9.454,80.155
mch,01-02-2021 10:00,16.5,100,11.653,58.659
mch,01-02-2021 11:00,32.022,91,13.303,54.379
mch,01-02-2021 12:00,72.022,98,14.24,57.045
mch,01-02-2021 13:00,12.022,90,15.109,60.098
mch,01-02-2021 14:00,82.022,95,15.234,69.671
mch,01-02-2021 15:00,82.022,104,15.028,76.725
mch,01-02-2021 16:00,32.022,77,14.824,90.186
mch,01-02-2021 17:00,32.022,91,14.585,91.38
mch,01-02-2021 18:00,17.9,90,13.709,83.482
mch,01-02-2021 19:00,12.022,74,12.124,81.131
mch,01-02-2021 20:00,14.1,103,99.563,87.42
