Scenario,datetime,WS,WD,TMP,RH
ERA,27-01-2021 19:00,67.187,91.915,19.089,45.616
ERA,27-01-2021 20:00,52.168,86.155,17.688,51.684
ERA,27-01-2021 21:00,32.434,87.593,16.255,57.737
ERA,27-01-2021 22:00,1.418,77.617,15.284,61.075
ERA,27-01-2021 23:00,1.096,355.43,14.87,62.205
ERA,28-01-2021 0:00,18.621,297.64,14.005,66.948
ERA,28-01-2021 1:00,22.258,283.97,13.852,65.766
ERA,28-01-2021 2:00,21.133,278.13,13.678,65.542
ERA,28-01-2021 3:00,20.507,277.85,13.358,65.951
ERA,28-01-2021 4:00,3.008,277.73,12.788,68.546
ERA,28-01-2021 5:00,24.677,274.56,12.75,67.56
ERA,28-01-2021 6:00,20.214,277.45,12.685,66.969
ERA,28-01-2021 7:00,26.122,256.97,12.405,67.123
ERA,28-01-2021 8:00,14.291,261.38,12.516,66.764
ERA,28-01-2021 9:00,18.317,141.34,14.126,62.976
ERA,28-01-2021 10:00,43.912,127.79,16.306,49.089
ERA,28-01-2021 11:00,65.858,117.04,17.723,45.059
ERA,28-01-2021 12:00,81.082,113.62,18.429,43.308
ERA,28-01-2021 13:00,83.885,114.62,18.015,45.307
ERA,28-01-2021 14:00,85.594,120.51,18.083,45.24
ERA,28-01-2021 15:00,93.094,121.79,18.495,42.718
ERA,28-01-2021 16:00,75.665,115.72,17.669,45.872
ERA,28-01-2021 17:00,6.84,115.8,16.6,49.994
ERA,28-01-2021 18:00,55.162,116.3,15.631,54.446
ERA,28-01-2021 19:00,47.139,108.62,15.048,57.5
ERA,28-01-2021 20:00,36.765,93.874,13.827,70.74
ERA,28-01-2021 21:00,17.453,138.75,13.016,74.061
ERA,28-01-2021 22:00,11.878,187.28,12.838,75.06
ERA,28-01-2021 23:00,20.306,207.9,12.491,77.306
ERA,29-01-2021 0:00,1.913,205.15,12.636,73.233
