Scenario,datetime,WS,WD,TMP,RH
ERA,27-01-2021 19:00,67.187,91.915,19.089,45.616
ERA,27-01-2021 20:00,52.168,86.155,17.688,51.684
ERA,27-01-2021 21:00,32.434,87.593,16.255,57.737
ERA,27-01-2021 22:00,1.418,77.617,15.284,61.075
ERA,27-01-2021 23:00,1.096,355.43,14.87,62.205
ERA,28-01-2021 0:00,18.621,297.64,14.005,66.948
ERA,28-01-2021 1:00,22.258,283.97,13.852,65.766
ERA,28-01-2021 2:00,21.133,278.13,13.678,65.542
ERA,28-01-2021 3:00,20.507,277.85,13.358,65.951
ERA,28-01-2021 4:00,3.008,277.73,12.788,68.546
ERA,28-01-2021 5:00,24.677,274.56,12.75,67.56
ERA,28-01-2021 6:00,20.214,277.45,12.685,66.969
ERA,28-01-2021 7:00,26.122,256.97,12.405,67.123
ERA,28-01-2021 8:00,14.291,261.38,12.516,66.764
ERA,28-01-2021 9:00,18.317,141.34,14.126,62.976
