Instance,Datetime,WS,WD,TMP,HR
Codelco,27-01-2021 00:00,6.6,244,15.6,60.4
Codelco,27-01-2021 01:00,4.1,98,15.2,61.9
Codelco,27-01-2021 02:00,5.4,274,14.3,65.3
Codelco,27-01-2021 03:00,6.8,114,13.7,67.3
Codelco,27-01-2021 04:00,7.2,306,13.8,66.1
Codelco,27-01-2021 05:00,5.4,268,13.3,68
Codelco,27-01-2021 06:00,8.1,125,13.9,65.4
Codelco,27-01-2021 07:00,13,113,16.1,56.6
Codelco,27-01-2021 08:00,9.6,108,17.9,52.6
Codelco,27-01-2021 09:00,14.1,281,17.4,54.3
Codelco,27-01-2021 10:00,21.3,289,19.2,50.4
Codelco,27-01-2021 11:00,22.1,255,21,43.3
Codelco,27-01-2021 12:00,23.2,282,22.9,37.9
Codelco,27-01-2021 13:00,27.7,287,24.6,35.5
Codelco,27-01-2021 14:00,25.1,301,25.8,31.9
Codelco,27-01-2021 15:00,21.2,264,26.8,28.1
Codelco,27-01-2021 16:00,23.1,243,26.7,29.2
Codelco,27-01-2021 17:00,22.6,269,25.9,31
Codelco,27-01-2021 18:00,14.9,292,24.4,32.8
Codelco,27-01-2021 19:00,16.3,246,21.8,36.8
Codelco,27-01-2021 20:00,10.2,266,19.2,43.1
Codelco,27-01-2021 21:00,9.8,312,18.4,44.9
Codelco,27-01-2021 22:00,7.2,299,17.4,47.7
Codelco,27-01-2021 23:00,3.9,291,16.9,49.7
Codelco,28-01-2021 00:00,10.4,117,16.1,51.3
Codelco,28-01-2021 01:00,10.8,105,15.7,52.3
Codelco,28-01-2021 02:00,8.3,112,16,50.9
Codelco,28-01-2021 03:00,5.4,259,15.4,53.7
Codelco,28-01-2021 04:00,3.4,288,15.3,54.4
Codelco,28-01-2021 05:00,3.9,269,15.2,54.4
Codelco,28-01-2021 06:00,5.1,294,14.8,55.4
Codelco,28-01-2021 07:00,5.7,277,15.1,54.9
Codelco,28-01-2021 08:00,7.4,260,16.7,47.6
Codelco,28-01-2021 09:00,14.2,279,17.7,45.9
Codelco,28-01-2021 10:00,23.4,284,18.5,44.7
Codelco,28-01-2021 11:00,16.7,286,19,42.7
Codelco,28-01-2021 12:00,14.4,283,21.7,34.3
Codelco,28-01-2021 13:00,25.4,257,21.8,38.5
Codelco,28-01-2021 14:00,22.4,253,21.6,36.4
