Scenario,datetime,WS,WD,TMP,RH
mch,27-01-2021 14:00,25.1,121,20.436,41.722
mch,27-01-2021 15:00,21.2,84,20.824,39.302
mch,27-01-2021 16:00,23.1,63,20.887,37.93
mch,27-01-2021 17:00,22.6,89,20.825,37.807
mch,27-01-2021 18:00,14.9,112,20.211,40.213
mch,27-01-2021 19:00,16.3,66,19.089,45.616
mch,27-01-2021 20:00,10.2,86,17.688,51.684
mch,27-01-2021 21:00,9.8,132,16.255,57.737
mch,27-01-2021 22:00,7.2,119,15.284,61.075
mch,27-01-2021 23:00,3.9,111,14.87,62.205
mch,28-01-2021 0:00,10.4,297,14.005,66.948
mch,28-01-2021 1:00,10.8,285,13.852,65.766
mch,28-01-2021 2:00,8.3,292,13.678,65.542
mch,28-01-2021 3:00,5.4,79,13.358,65.951
mch,28-01-2021 4:00,3.4,108,12.788,68.546
mch,28-01-2021 5:00,3.9,89,12.75,67.56
mch,28-01-2021 6:00,5.1,114,12.685,66.969
mch,28-01-2021 7:00,5.7,97,12.405,67.123
mch,28-01-2021 8:00,7.4,80,12.516,66.764
mch,28-01-2021 9:00,14.2,99,14.126,62.976
mch,28-01-2021 10:00,23.4,104,16.306,49.089
mch,28-01-2021 11:00,16.7,106,17.723,45.059
mch,28-01-2021 12:00,14.4,103,18.429,43.308
mch,28-01-2021 13:00,25.4,77,18.015,45.307
mch,28-01-2021 14:00,22.4,73,18.083,45.24
mch,28-01-2021 15:00,16.4,89,18.495,42.718
mch,28-01-2021 16:00,10.7,247,17.669,45.872
mch,28-01-2021 17:00,9.8,91,16.6,49.994
mch,28-01-2021 18:00,12.1,122,15.631,54.446
mch,28-01-2021 19:00,9.1,107,15.048,57.5
mch,28-01-2021 20:00,7.2,128,13.827,70.74
mch,28-01-2021 21:00,4.8,134,13.016,74.061
mch,28-01-2021 22:00,2.8,167,12.838,75.06
mch,28-01-2021 23:00,7.7,279,12.491,77.306
mch,29-01-2021 0:00,7.8,116,12.636,73.233
mch,29-01-2021 1:00,4.3,106,12.548,72.656
