Instance,datetime,WS,WD,FireScenario
CHI2015,15-03-2014 17:00,7.86315789473684,328.894736842105,1
CHI2015,15-03-2014 18:00,8.12842105263158,330.052631578947,1
CHI2015,15-03-2014 19:00,8.39368421052631,331.210526315789,1
CHI2015,15-03-2014 20:00,8.65894736842105,332.368421052632,1
CHI2015,15-03-2014 21:00,8.92421052631579,333.526315789474,1
CHI2015,15-03-2014 22:00,9.18947368421053,334.684210526316,1
CHI2015,15-03-2014 23:00,9.45473684210526,335.842105263158,1
CHI2015,16-03-2014 0:00,9.72,337,1
CHI2015,16-03-2014 1:00,12.96,270,1
CHI2015,16-03-2014 2:00,19.44,292,1
CHI2015,16-03-2014 3:00,16.2,315,1
CHI2015,16-03-2014 4:00,14.4,292,1
CHI2015,16-03-2014 5:00,17.64,247,1
CHI2015,16-03-2014 6:00,9.72,337,1
CHI2015,16-03-2014 7:00,7.92,337,1
CHI2015,16-03-2014 8:00,6.48,337,1
CHI2015,16-03-2014 9:00,11.16,315,1
CHI2015,16-03-2014 10:00,11.16,315,1
CHI2015,16-03-2014 11:00,11.16,315,1
CHI2015,16-03-2014 12:00,12.96,337,1
CHI2015,16-03-2014 13:00,11.16,337,1
CHI2015,16-03-2014 14:00,11.16,315,1
CHI2015,16-03-2014 15:00,12.96,337,1
CHI2015,16-03-2014 16:00,12.96,315,1
CHI2015,16-03-2014 17:00,11.16,315,1
CHI2015,16-03-2014 18:00,4.68,315,1
CHI2015,16-03-2014 19:00,1.8,292,1
CHI2015,16-03-2014 20:00,1.8,292,1
CHI2015,16-03-2014 21:00,2.52,297.75,1
CHI2015,16-03-2014 22:00,3.24,303.5,1
CHI2015,16-03-2014 23:00,3.96,309.25,1
CHI2015,17-03-2014 0:00,4.68,315,1
