Scenario,datetime,WS,WD,TMP,RH
ERA,27-01-2021 19:00,15,45,25,60
ERA,27-01-2021 20:00,15,45,25,60
ERA,27-01-2021 21:00,15,45,25,60
ERA,27-01-2021 22:00,15,45,25,60
ERA,27-01-2021 23:00,15,45,25,60
ERA,28-01-2021 0:00,15,45,25,60
ERA,28-01-2021 1:00,15,45,25,60
ERA,28-01-2021 2:00,15,45,25,60
ERA,28-01-2021 3:00,15,45,25,60
ERA,28-01-2021 4:00,15,45,25,60
ERA,28-01-2021 5:00,15,45,25,60
ERA,28-01-2021 6:00,15,45,25,60
ERA,28-01-2021 7:00,15,45,25,60
ERA,28-01-2021 8:00,15,45,25,60
ERA,28-01-2021 9:00,15,45,25,60
